timestamp,Kp,Ki,Kd,yaw_error,steer_correction,acelerador,brake,target_y,vehicle_y,target_x,vehicle_x,eror_x,error_y
02-07-2025 12:11:13.384,0.05,0.001,0.02,-0.04142657026217833,-0.009495394527434777,0.5,0,119.6408920288086,129.403564453125,0.0,120.2431640625,-0.6022720336914062,0.0194854736328125
02-07-2025 12:11:13.403,0.05,0.001,0.02,-0.04368988943996399,-0.010019592642971527,0.5,0,119.6408920288086,129.40359497070312,0.0,120.2010726928711,-0.5601806640625,0.0194549560546875
02-07-2025 12:11:13.424,0.05,0.001,0.02,-0.04635082418608505,-0.010630550576016492,0.5,0,119.6408920288086,129.40365600585938,0.0,120.15904998779297,-0.518157958984375,0.0193939208984375
02-07-2025 12:11:13.443,0.05,0.001,0.02,-0.04951232344303591,-0.011390128157250518,0.5,0,119.6408920288086,129.40365600585938,0.0,120.11705780029297,-0.476165771484375,0.0193939208984375
02-07-2025 12:11:13.461,0.05,0.001,0.02,-0.05337271118321496,-0.012422703269319681,0.5,0,119.6408920288086,129.40367126464844,0.0,120.07513427734375,-0.43424224853515625,0.019378662109375
02-07-2025 12:11:13.480,0.05,0.001,0.02,-0.0580100635449341,-0.013587895267646161,0.5,0,119.6408920288086,129.40365600585938,0.0,120.03330993652344,-0.39241790771484375,0.0193939208984375
02-07-2025 12:11:13.499,0.05,0.001,0.02,-0.06379771323474515,-0.015258697841067585,0.5,0,119.6408920288086,129.40367126464844,0.0,119.99163055419922,-0.350738525390625,0.019378662109375
02-07-2025 12:11:13.518,0.05,0.001,0.02,-0.07113559323076046,-0.017487053801533987,0.5,0,119.6408920288086,129.4036407470703,0.0,119.95008850097656,-0.30919647216796875,0.0194091796875
02-07-2025 12:11:13.537,0.05,0.001,0.02,-0.08081830890611563,-0.020786339372324672,0.5,0,119.6408920288086,129.40362548828125,0.0,119.90840911865234,-0.26751708984375,0.0194244384765625
02-07-2025 12:11:13.557,0.05,0.001,0.02,-0.09397407766680921,-0.025613357747393217,0.5,0,119.6408920288086,129.40365600585938,0.0,119.86650848388672,-0.225616455078125,0.0193939208984375
02-07-2025 12:11:13.575,0.05,0.001,0.02,-0.11308536702569505,-0.03371743168928532,0.5,0,119.6408920288086,129.40370178222656,0.0,119.82447814941406,-0.18358612060546875,0.01934814453125
02-07-2025 12:11:13.594,0.05,0.001,0.02,-0.14308481497863568,-0.04828557914671441,0.5,0,119.6408920288086,129.40380859375,0.0,119.78241729736328,-0.1415252685546875,0.0192413330078125
02-07-2025 12:11:13.612,0.05,0.001,0.02,-0.19739606078174887,-0.08017858879142352,0.5,0,119.6408920288086,129.4039764404297,0.0,119.7402572631836,-0.099365234375,0.019073486328125
02-07-2025 12:11:13.631,0.05,0.001,0.02,-0.3227843153195238,-0.17174579173849497,0.5,0,119.6408920288086,129.404296875,0.0,119.69840240478516,-0.0575103759765625,0.0187530517578125
02-07-2025 12:11:13.651,0.05,0.001,0.02,-0.8768320505579901,-0.7138541692087573,0.5,0,119.6408920288086,129.40475463867188,0.0,119.65634155273438,-0.01544952392578125,0.0182952880859375
02-07-2025 12:11:13.670,0.05,0.001,0.02,-2.564164909551673,-1.0,0.5,0,119.6408920288086,129.40545654296875,0.0,119.61429595947266,0.0265960693359375,0.0175933837890625
02-07-2025 12:11:13.688,0.05,0.001,0.02,-2.909869722007313,-0.565585779352358,0.5,0,119.6408920288086,129.40635681152344,0.0,119.5721664428711,0.0687255859375,0.016693115234375
02-07-2025 12:11:13.707,0.05,0.001,0.02,-3.0083011275357743,-0.27382939966829195,0.5,0,119.6408920288086,129.40753173828125,0.0,119.53028869628906,0.11060333251953125,0.0155181884765625
02-07-2025 12:11:13.726,0.05,0.001,0.02,-3.0550723971523617,-0.21422671792815862,0.5,0,119.6408920288086,129.40896606445312,0.0,119.48828887939453,0.1526031494140625,0.0140838623046875
02-07-2025 12:11:13.745,0.05,0.001,0.02,-3.0832162655592263,-0.1933324168345939,0.5,0,119.6408920288086,129.41073608398438,0.0,119.44636535644531,0.19452667236328125,0.0123138427734375
02-07-2025 12:11:13.764,0.05,0.001,0.02,-3.1020552542630107,-0.18316021154699105,0.5,0,119.6408920288086,129.41273498535156,0.0,119.40436553955078,0.2365264892578125,0.01031494140625
02-07-2025 12:11:13.782,0.05,0.001,0.02,-3.1158752278372557,-0.17788032332405346,0.5,0,119.6408920288086,129.4149932861328,0.0,119.36253356933594,0.27835845947265625,0.008056640625
02-07-2025 12:11:13.801,0.05,0.001,0.02,-3.126415697827021,-0.17452404945046293,0.5,0,119.6408920288086,129.41744995117188,0.0,119.32066345214844,0.32022857666015625,0.0055999755859375
02-07-2025 12:11:13.820,0.05,0.001,0.02,-3.134696000144425,-0.17227810829283563,0.5,0,119.6408920288086,129.42007446289062,0.0,119.27886199951172,0.362030029296875,0.0029754638671875
02-07-2025 12:11:13.839,0.05,0.001,0.02,-3.141260305868772,-0.17059948200581587,0.5,0,119.6408920288086,129.4228057861328,0.0,119.23721313476562,0.40367889404296875,0.000244140625
02-07-2025 12:11:13.857,0.05,0.001,0.02,3.136503933957256,1.0,0.5,0,119.6408920288086,129.42567443847656,0.0,119.19549560546875,0.44539642333984375,-0.00262451171875
02-07-2025 12:11:13.877,0.05,0.001,0.02,3.1321447294398546,0.14582136868567389,0.5,0,119.6408920288086,129.42857360839844,0.0,119.15357971191406,0.48731231689453125,-0.005523681640625
02-07-2025 12:11:13.895,0.05,0.001,0.02,3.1287825568779244,0.14690184478009066,0.5,0,119.6408920288086,129.431396484375,0.0,119.1115493774414,0.5293426513671875,-0.0083465576171875
02-07-2025 12:11:13.914,0.05,0.001,0.02,3.1262598781502158,0.1478352077760736,0.5,0,119.6408920288086,129.43406677246094,0.0,119.06945037841797,0.571441650390625,-0.011016845703125
02-07-2025 12:11:13.933,0.05,0.001,0.02,3.12467413359413,0.14893231945644345,0.5,0,119.6408920288086,129.43643188476562,0.0,119.02730560302734,0.61358642578125,-0.0133819580078125
02-07-2025 12:11:13.952,0.05,0.001,0.02,3.1236959283420767,0.14966451795748503,0.5,0,119.6408920288086,129.43850708007812,0.0,118.98532104492188,0.6555709838867188,-0.0154571533203125
02-07-2025 12:11:13.970,0.05,0.001,0.02,3.123369936844293,0.15048293105333388,0.5,0,119.6408920288086,129.44020080566406,0.0,118.94306182861328,0.6978302001953125,-0.01715087890625
02-07-2025 12:11:13.989,0.05,0.001,0.02,3.123492593950064,0.15107950044278684,0.5,0,119.6408920288086,129.44154357910156,0.0,118.90074920654297,0.740142822265625,-0.01849365234375
02-07-2025 12:11:14.008,0.05,0.001,0.02,3.124025582438887,0.15165061461993123,0.5,0,119.6408920288086,129.44252014160156,0.0,118.85838317871094,0.7825088500976562,-0.01947021484375
02-07-2025 12:11:14.026,0.05,0.001,0.02,3.124778369773578,0.1520040922412037,0.5,0,119.6408920288086,129.4431610107422,0.0,118.81609344482422,0.824798583984375,-0.020111083984375
02-07-2025 12:11:14.045,0.05,0.001,0.02,3.1258418181418266,0.15248215526352082,0.5,0,119.6408920288086,129.44338989257812,0.0,118.7739028930664,0.8669891357421875,-0.0203399658203125
02-07-2025 12:11:14.064,0.05,0.001,0.02,3.127097601656388,0.15282786490818503,0.5,0,119.6408920288086,129.44325256347656,0.0,118.73178100585938,0.9091110229492188,-0.02020263671875
02-07-2025 12:11:14.083,0.05,0.001,0.02,3.1284306768487316,0.153039409192422,0.5,0,119.6408920288086,129.44281005859375,0.0,118.68984985351562,0.9510421752929688,-0.0197601318359375
02-07-2025 12:11:14.102,0.05,0.001,0.02,3.1297811129220534,0.15317992707181058,0.5,0,119.6408920288086,129.4420928955078,0.0,118.64810180664062,0.9927902221679688,-0.01904296875
02-07-2025 12:11:14.121,0.05,0.001,0.02,0.026692718195111986,-1.0,0.5,0,117.6408920288086,129.4411163330078,0.0,118.60658264160156,-0.9656906127929688,-0.0189666748046875
02-07-2025 12:11:14.140,0.05,0.001,0.02,0.025961822034680004,-0.004507758577392231,0.5,0,117.6408920288086,129.43997192382812,0.0,118.56494140625,-0.9240493774414062,-0.017822265625
02-07-2025 12:11:14.158,0.05,0.001,0.02,0.025154753066840563,-0.004639100148788707,0.5,0,117.6408920288086,129.43881225585938,0.0,118.52312469482422,-0.882232666015625,-0.01666259765625
02-07-2025 12:11:14.177,0.05,0.001,0.02,0.024417657873914145,-0.004591579417574833,0.5,0,117.6408920288086,129.43772888183594,0.0,118.48113250732422,-0.840240478515625,-0.0155792236328125
02-07-2025 12:11:14.196,0.05,0.001,0.02,0.02388098304992603,-0.00437751069966411,0.5,0,117.6408920288086,129.43679809570312,0.0,118.43897247314453,-0.7980804443359375,-0.0146484375
02-07-2025 12:11:14.215,0.05,0.001,0.02,0.023567748385231013,-0.004124651445940722,0.5,0,117.6408920288086,129.43601989746094,0.0,118.39667510986328,-0.7557830810546875,-0.0138702392578125
02-07-2025 12:11:14.234,0.05,0.001,0.02,0.023463106641810505,-0.0038791809758049745,0.5,0,117.6408920288086,129.43536376953125,0.0,118.35423278808594,-0.7133407592773438,-0.013214111328125
02-07-2025 12:11:14.253,0.05,0.001,0.02,0.023574191629511354,-0.0036143617458804784,0.5,0,117.6408920288086,129.434814453125,0.0,118.31166076660156,-0.6707687377929688,-0.012664794921875
